model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_0,type_1_len_1,type_1_len_2,type_1_len_3,type_1_len_4,type_1_len_5,type_1_len_6,type_1_len_7,type_1_len_8,type_1_len_9,type_2_len_1,type_2_len_2,type_2_len_3,type_2_len_4,type_2_len_5,type_2_len_6,type_2_len_7,type_2_len_8,type_2_len_9,type_2_len_10,type_3_len_0,type_3_len_1,type_3_len_2,type_3_len_3,type_3_len_4,type_3_len_5,type_3_len_6,type_3_len_7,type_3_len_8,type_3_len_9,type_3_len_10,type_3_len_11,type_3_len_12,type_3_len_13,type_3_len_14,type_3_len_15,type_3_len_16,type_3_len_17,type_3_len_18,type_3_len_19,type_4_len_1,type_4_len_2,type_4_len_3,type_4_len_4,type_4_len_5,type_4_len_6,type_4_len_7,type_4_len_8,type_4_len_9,type_4_len_10,type_4_len_11,type_5_len_7,type_5_len_8,type_5_len_9,type_5_len_10,type_5_len_11,type_5_len_12,type_5_len_13,type_5_len_14,type_5_len_15,type_5_len_16,type_5_len_17,type_5_len_18,type_5_len_19,type_6_len_0,type_6_len_1,type_6_len_2,type_6_len_3,type_6_len_4,type_6_len_5,type_6_len_6,type_6_len_7,type_6_len_8,type_6_len_9,type_6_len_10,type_6_len_11,type_6_len_12,type_6_len_13,type_6_len_14,type_6_len_15,type_6_len_16,type_6_len_17,type_6_len_18,type_7_len_0,type_7_len_1,type_7_len_2,type_7_len_3,type_7_len_4,type_7_len_5,type_7_len_6,type_7_len_7,type_7_len_8,type_7_len_9,type_7_len_10,type_7_len_11,type_7_len_12,type_7_len_13
qwen-3b,1596,1000,ood_words,lora,base,meta,87.71,100.0,93.0,93.0,83.0,76.0,75.0,66.0,78.0,65.0,72.0,100.0,100.0,98.0,97.0,98.0,98.0,94.0,95.0,92.0,98.0,99.0,99.0,92.0,93.0,91.0,84.0,81.0,82.0,81.0,77.0,81.0,75.0,72.0,76.0,77.0,80.0,74.0,72.0,75.0,69.0,94.0,93.0,87.0,91.0,79.0,77.0,82.0,80.0,89.0,77.0,61.0,90.0,87.0,87.0,91.0,97.0,89.0,90.0,88.0,81.0,79.0,88.0,80.0,83.0,100.0,100.0,98.0,98.0,94.0,96.0,94.0,94.0,95.0,88.0,98.0,92.0,98.0,92.0,91.0,93.0,89.0,88.0,87.0,100.0,99.0,95.0,100.0,96.0,99.0,90.0,91.0,90.0,91.0,87.0,85.0,77.0,82.0
qwen-3b,1596,1000,ood_support,lora,base,meta,90.2,98.0,97.0,95.0,82.0,77.0,73.0,67.0,76.0,74.0,74.0,100.0,100.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,100.0,93.0,91.0,91.0,87.0,81.0,86.0,84.0,85.0,80.0,86.0,73.0,76.0,87.0,82.0,80.0,85.0,80.0,80.0,97.0,96.0,91.0,84.0,88.0,82.0,87.0,83.0,79.0,76.0,68.0,90.0,87.0,83.0,87.0,88.0,85.0,95.0,91.0,85.0,94.0,89.0,95.0,94.0,100.0,100.0,100.0,99.0,99.0,97.0,97.0,99.0,99.0,94.0,97.0,94.0,98.0,96.0,97.0,97.0,97.0,99.0,96.0,99.0,98.0,99.0,98.0,97.0,97.0,89.0,93.0,94.0,95.0,93.0,82.0,81.0,77.0
qwen-3b,512,1000,normal,lora,base,meta,89.38,94.0,91.0,89.0,84.0,83.0,76.0,68.0,75.0,68.0,73.0,99.0,97.0,98.0,97.0,96.0,95.0,99.0,95.0,93.0,97.0,99.0,97.0,94.0,94.0,93.0,84.0,79.0,87.0,83.0,83.0,82.0,78.0,86.0,76.0,79.0,80.0,87.0,85.0,82.0,81.0,96.0,91.0,80.0,83.0,79.0,81.0,84.0,81.0,88.0,84.0,76.0,83.0,88.0,84.0,92.0,91.0,87.0,90.0,96.0,87.0,89.0,88.0,87.0,94.0,100.0,99.0,100.0,98.0,98.0,99.0,97.0,94.0,99.0,93.0,98.0,93.0,97.0,97.0,99.0,97.0,98.0,97.0,95.0,100.0,98.0,92.0,94.0,96.0,91.0,92.0,92.0,87.0,92.0,83.0,81.0,83.0,86.0
qwen-3b,512,1000,ood_constants,lora,base,meta,72.51,84.0,88.0,72.0,64.0,61.0,59.0,60.0,60.0,50.0,54.0,96.0,86.0,86.0,78.0,74.0,78.0,86.0,75.0,73.0,71.0,99.0,100.0,91.0,88.0,79.0,83.0,67.0,69.0,67.0,76.0,60.0,66.0,62.0,58.0,54.0,61.0,56.0,52.0,48.0,40.0,86.0,71.0,59.0,51.0,56.0,50.0,55.0,58.0,66.0,53.0,46.0,78.0,81.0,75.0,79.0,67.0,68.0,70.0,62.0,68.0,64.0,64.0,56.0,53.0,100.0,99.0,100.0,99.0,97.0,95.0,96.0,92.0,91.0,97.0,88.0,84.0,88.0,83.0,83.0,79.0,73.0,72.0,66.0,91.0,87.0,82.0,83.0,77.0,73.0,62.0,74.0,63.0,59.0,59.0,63.0,56.0,55.0
qwen-3b,512,1000,ood_words,lora,base,meta,88.87,96.0,88.0,84.0,84.0,78.0,73.0,75.0,78.0,64.0,69.0,98.0,95.0,99.0,97.0,96.0,94.0,96.0,93.0,90.0,100.0,100.0,99.0,93.0,93.0,92.0,83.0,82.0,86.0,83.0,88.0,81.0,84.0,81.0,74.0,71.0,83.0,79.0,77.0,75.0,76.0,98.0,88.0,86.0,84.0,82.0,82.0,77.0,86.0,86.0,80.0,73.0,88.0,84.0,86.0,90.0,91.0,92.0,92.0,89.0,93.0,87.0,90.0,89.0,89.0,100.0,100.0,99.0,100.0,100.0,99.0,97.0,97.0,96.0,98.0,98.0,95.0,96.0,96.0,98.0,95.0,96.0,98.0,96.0,100.0,98.0,96.0,91.0,96.0,91.0,91.0,90.0,79.0,82.0,87.0,84.0,81.0,91.0
qwen-3b,512,1000,ood_support,lora,base,meta,89.1,95.0,93.0,93.0,83.0,81.0,74.0,70.0,71.0,61.0,74.0,99.0,99.0,97.0,97.0,98.0,97.0,98.0,98.0,95.0,97.0,99.0,98.0,94.0,88.0,91.0,85.0,85.0,84.0,83.0,81.0,84.0,82.0,79.0,73.0,78.0,79.0,87.0,86.0,79.0,79.0,94.0,91.0,82.0,83.0,79.0,82.0,82.0,85.0,85.0,84.0,78.0,85.0,90.0,82.0,91.0,90.0,85.0,88.0,97.0,87.0,91.0,90.0,83.0,84.0,100.0,99.0,98.0,98.0,95.0,99.0,99.0,99.0,99.0,95.0,100.0,95.0,95.0,96.0,98.0,95.0,97.0,94.0,97.0,100.0,97.0,96.0,92.0,92.0,93.0,86.0,94.0,90.0,90.0,79.0,84.0,84.0,86.0
qwen-7b,1048,100,normal,lora,base,meta,77.21,99.0,77.0,70.0,51.0,73.0,58.0,60.0,59.0,62.0,65.0,97.0,99.0,95.0,96.0,93.0,88.0,94.0,88.0,83.0,81.0,98.0,100.0,89.0,81.0,73.0,66.0,51.0,62.0,64.0,58.0,49.0,64.0,63.0,50.0,56.0,65.0,60.0,58.0,54.0,55.0,84.0,70.0,56.0,57.0,51.0,42.0,51.0,60.0,61.0,57.0,43.0,74.0,78.0,76.0,68.0,72.0,69.0,73.0,73.0,69.0,76.0,74.0,76.0,77.0,98.0,98.0,97.0,99.0,95.0,96.0,96.0,99.0,94.0,99.0,96.0,96.0,95.0,98.0,94.0,90.0,93.0,94.0,94.0,100.0,95.0,86.0,86.0,87.0,86.0,79.0,85.0,86.0,77.0,76.0,83.0,76.0,75.0
qwen-7b,1048,100,ood_constants,lora,base,meta,61.91,98.0,80.0,63.0,45.0,54.0,51.0,46.0,46.0,42.0,43.0,98.0,98.0,92.0,78.0,82.0,83.0,79.0,73.0,76.0,69.0,100.0,96.0,88.0,74.0,74.0,63.0,44.0,58.0,61.0,56.0,49.0,50.0,43.0,43.0,40.0,43.0,52.0,50.0,42.0,35.0,82.0,70.0,49.0,48.0,54.0,42.0,41.0,48.0,47.0,45.0,34.0,49.0,45.0,48.0,53.0,48.0,33.0,39.0,36.0,28.0,45.0,35.0,40.0,29.0,100.0,93.0,95.0,95.0,91.0,90.0,81.0,79.0,77.0,67.0,74.0,81.0,69.0,71.0,72.0,68.0,65.0,73.0,63.0,99.0,87.0,78.0,68.0,67.0,64.0,52.0,47.0,59.0,48.0,50.0,56.0,44.0,37.0
qwen-7b,1048,100,ood_words,lora,base,meta,76.86,99.0,80.0,71.0,59.0,62.0,56.0,58.0,65.0,59.0,62.0,100.0,96.0,95.0,90.0,87.0,95.0,94.0,90.0,85.0,74.0,98.0,97.0,89.0,82.0,78.0,65.0,52.0,62.0,70.0,59.0,55.0,60.0,61.0,58.0,57.0,54.0,57.0,60.0,55.0,53.0,85.0,66.0,55.0,56.0,56.0,49.0,52.0,47.0,65.0,60.0,44.0,75.0,71.0,80.0,82.0,78.0,73.0,79.0,66.0,71.0,75.0,77.0,66.0,77.0,100.0,96.0,99.0,97.0,96.0,96.0,97.0,98.0,96.0,94.0,94.0,93.0,96.0,97.0,94.0,92.0,94.0,86.0,87.0,100.0,94.0,86.0,81.0,89.0,82.0,82.0,76.0,83.0,81.0,78.0,77.0,67.0,73.0
qwen-7b,1048,100,ood_support,lora,base,meta,77.31,99.0,84.0,76.0,55.0,65.0,56.0,58.0,60.0,59.0,63.0,96.0,99.0,98.0,96.0,89.0,87.0,93.0,94.0,83.0,88.0,100.0,100.0,92.0,79.0,74.0,67.0,55.0,62.0,57.0,59.0,50.0,65.0,54.0,55.0,57.0,66.0,62.0,57.0,57.0,54.0,89.0,69.0,59.0,62.0,56.0,42.0,43.0,58.0,67.0,57.0,44.0,73.0,84.0,72.0,70.0,69.0,70.0,68.0,64.0,67.0,64.0,70.0,82.0,74.0,98.0,98.0,99.0,96.0,96.0,99.0,94.0,96.0,96.0,98.0,94.0,98.0,94.0,95.0,96.0,94.0,94.0,94.0,92.0,100.0,95.0,87.0,90.0,90.0,88.0,84.0,78.0,78.0,78.0,75.0,86.0,76.0,80.0
qwen-7b,512,100,normal,lora,base,meta,71.14,97.0,76.0,71.0,52.0,57.0,47.0,56.0,48.0,55.0,55.0,99.0,95.0,96.0,95.0,95.0,85.0,84.0,84.0,86.0,77.0,100.0,93.0,80.0,82.0,73.0,60.0,53.0,66.0,56.0,54.0,47.0,51.0,51.0,54.0,54.0,50.0,45.0,53.0,41.0,58.0,76.0,69.0,53.0,57.0,57.0,49.0,49.0,44.0,62.0,66.0,53.0,74.0,64.0,72.0,62.0,59.0,60.0,67.0,60.0,67.0,62.0,59.0,57.0,69.0,100.0,89.0,93.0,92.0,85.0,90.0,86.0,88.0,79.0,83.0,80.0,82.0,76.0,76.0,79.0,78.0,75.0,69.0,56.0,100.0,95.0,83.0,86.0,89.0,80.0,84.0,77.0,81.0,78.0,80.0,78.0,74.0,62.0
qwen-7b,512,100,ood_constants,lora,base,meta,50.52,78.0,66.0,43.0,37.0,50.0,31.0,26.0,35.0,27.0,21.0,94.0,95.0,91.0,75.0,84.0,70.0,67.0,59.0,62.0,55.0,92.0,94.0,82.0,67.0,67.0,46.0,39.0,37.0,46.0,40.0,30.0,37.0,34.0,29.0,38.0,33.0,39.0,47.0,38.0,25.0,70.0,67.0,38.0,39.0,46.0,42.0,23.0,36.0,45.0,37.0,27.0,34.0,31.0,29.0,45.0,35.0,25.0,30.0,28.0,16.0,37.0,34.0,23.0,26.0,94.0,86.0,86.0,83.0,78.0,69.0,70.0,65.0,72.0,68.0,58.0,73.0,56.0,50.0,42.0,46.0,41.0,41.0,51.0,93.0,72.0,62.0,51.0,64.0,46.0,43.0,33.0,43.0,29.0,45.0,49.0,28.0,24.0
qwen-7b,512,100,ood_words,lora,base,meta,70.78,90.0,71.0,64.0,52.0,59.0,49.0,52.0,47.0,50.0,50.0,99.0,98.0,95.0,91.0,92.0,88.0,82.0,92.0,80.0,71.0,99.0,97.0,87.0,76.0,75.0,67.0,49.0,62.0,56.0,56.0,52.0,55.0,55.0,54.0,54.0,43.0,48.0,57.0,51.0,55.0,80.0,65.0,61.0,54.0,45.0,48.0,43.0,48.0,60.0,60.0,55.0,64.0,67.0,67.0,62.0,68.0,67.0,69.0,54.0,60.0,60.0,63.0,44.0,64.0,98.0,95.0,90.0,90.0,95.0,87.0,92.0,88.0,84.0,84.0,80.0,71.0,78.0,87.0,72.0,85.0,71.0,65.0,68.0,100.0,91.0,84.0,83.0,82.0,82.0,79.0,82.0,76.0,78.0,80.0,80.0,73.0,68.0
qwen-7b,512,100,ood_support,lora,base,meta,71.86,96.0,73.0,73.0,52.0,54.0,45.0,52.0,50.0,52.0,54.0,99.0,96.0,97.0,94.0,91.0,94.0,87.0,84.0,92.0,82.0,100.0,94.0,88.0,80.0,70.0,62.0,53.0,60.0,56.0,55.0,49.0,54.0,52.0,51.0,60.0,55.0,40.0,49.0,49.0,50.0,78.0,70.0,58.0,56.0,59.0,54.0,46.0,57.0,64.0,63.0,51.0,69.0,69.0,70.0,71.0,65.0,60.0,68.0,60.0,59.0,67.0,59.0,60.0,66.0,99.0,92.0,92.0,91.0,92.0,84.0,84.0,86.0,86.0,83.0,80.0,85.0,73.0,73.0,84.0,78.0,74.0,76.0,61.0,99.0,93.0,85.0,83.0,86.0,84.0,84.0,83.0,75.0,81.0,77.0,80.0,76.0,68.0
qwen-7b,512,1000,normal,lora,base,meta,93.41,100.0,91.0,95.0,97.0,91.0,86.0,88.0,86.0,72.0,78.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,98.0,97.0,97.0,100.0,99.0,96.0,95.0,94.0,91.0,87.0,92.0,87.0,87.0,82.0,87.0,80.0,85.0,88.0,88.0,87.0,90.0,80.0,89.0,96.0,90.0,86.0,88.0,90.0,87.0,89.0,90.0,93.0,88.0,78.0,94.0,91.0,86.0,90.0,95.0,90.0,93.0,97.0,97.0,88.0,86.0,87.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,99.0,99.0,98.0,100.0,99.0,98.0,99.0,99.0,99.0,99.0,100.0,99.0,100.0,97.0,98.0,97.0,96.0,97.0,97.0,97.0,98.0,96.0,93.0,92.0
qwen-7b,512,1000,ood_constants,lora,base,meta,73.97,100.0,90.0,86.0,67.0,70.0,59.0,64.0,63.0,52.0,55.0,92.0,96.0,86.0,88.0,84.0,82.0,76.0,77.0,75.0,70.0,100.0,98.0,94.0,85.0,82.0,72.0,63.0,72.0,64.0,70.0,63.0,59.0,56.0,48.0,50.0,51.0,49.0,51.0,47.0,46.0,93.0,77.0,66.0,67.0,53.0,51.0,46.0,60.0,60.0,51.0,36.0,77.0,78.0,80.0,81.0,75.0,74.0,72.0,70.0,71.0,74.0,56.0,60.0,56.0,100.0,100.0,98.0,99.0,94.0,97.0,94.0,90.0,90.0,93.0,90.0,85.0,91.0,84.0,90.0,87.0,88.0,85.0,72.0,98.0,96.0,89.0,82.0,84.0,78.0,74.0,66.0,69.0,61.0,61.0,62.0,49.0,43.0
qwen-7b,512,1000,ood_words,lora,base,meta,91.96,99.0,96.0,91.0,89.0,89.0,77.0,82.0,80.0,72.0,82.0,100.0,100.0,100.0,98.0,98.0,97.0,98.0,94.0,96.0,97.0,99.0,99.0,95.0,94.0,94.0,89.0,84.0,91.0,88.0,91.0,88.0,83.0,81.0,87.0,86.0,90.0,83.0,85.0,80.0,83.0,98.0,94.0,86.0,92.0,84.0,85.0,84.0,93.0,95.0,89.0,75.0,89.0,90.0,89.0,87.0,89.0,91.0,86.0,91.0,91.0,88.0,90.0,84.0,78.0,99.0,99.0,99.0,99.0,99.0,100.0,98.0,99.0,98.0,100.0,96.0,96.0,99.0,96.0,99.0,99.0,97.0,96.0,97.0,99.0,100.0,98.0,99.0,97.0,95.0,96.0,96.0,96.0,92.0,93.0,92.0,88.0,91.0
qwen-7b,512,1000,ood_support,lora,base,meta,93.3,99.0,96.0,97.0,96.0,92.0,88.0,87.0,81.0,74.0,79.0,100.0,100.0,100.0,100.0,99.0,99.0,97.0,100.0,97.0,99.0,100.0,100.0,94.0,92.0,93.0,90.0,87.0,92.0,89.0,90.0,80.0,89.0,85.0,81.0,86.0,89.0,87.0,87.0,84.0,87.0,97.0,91.0,91.0,90.0,83.0,89.0,88.0,87.0,86.0,91.0,87.0,92.0,92.0,85.0,85.0,92.0,91.0,95.0,92.0,94.0,92.0,90.0,83.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,99.0,99.0,98.0,99.0,100.0,100.0,100.0,100.0,98.0,99.0,98.0,100.0,98.0,100.0,98.0,98.0,95.0,98.0,96.0,96.0,97.0,97.0,92.0,90.0,95.0
qwen-7b,1596,1000,normal,lora,base,meta,90.86,100.0,90.0,89.0,90.0,86.0,78.0,78.0,81.0,74.0,80.0,100.0,100.0,100.0,100.0,99.0,98.0,98.0,95.0,94.0,95.0,100.0,100.0,98.0,94.0,92.0,89.0,81.0,87.0,86.0,75.0,80.0,84.0,85.0,81.0,86.0,83.0,82.0,80.0,71.0,70.0,98.0,92.0,84.0,85.0,86.0,81.0,82.0,84.0,94.0,82.0,71.0,92.0,84.0,84.0,83.0,82.0,86.0,87.0,88.0,89.0,80.0,85.0,80.0,85.0,100.0,100.0,99.0,100.0,99.0,99.0,100.0,96.0,98.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,95.0,98.0,95.0,95.0,95.0,89.0
qwen-7b,1596,1000,ood_constants,lora,base,meta,72.25,100.0,79.0,75.0,57.0,70.0,57.0,51.0,60.0,39.0,44.0,97.0,96.0,90.0,87.0,86.0,89.0,84.0,78.0,82.0,76.0,97.0,97.0,86.0,78.0,77.0,68.0,57.0,57.0,60.0,64.0,53.0,55.0,60.0,54.0,49.0,58.0,46.0,51.0,47.0,48.0,86.0,74.0,48.0,57.0,54.0,53.0,51.0,58.0,59.0,53.0,41.0,69.0,61.0,68.0,65.0,54.0,67.0,62.0,62.0,60.0,63.0,64.0,53.0,65.0,100.0,98.0,100.0,98.0,94.0,96.0,95.0,92.0,93.0,88.0,89.0,87.0,86.0,84.0,89.0,90.0,90.0,75.0,72.0,100.0,99.0,90.0,87.0,83.0,82.0,69.0,69.0,75.0,64.0,68.0,72.0,69.0,59.0
qwen-7b,1596,1000,ood_words,lora,base,meta,90.3,100.0,90.0,91.0,89.0,82.0,75.0,74.0,79.0,70.0,78.0,100.0,100.0,100.0,99.0,97.0,96.0,99.0,96.0,94.0,94.0,100.0,98.0,95.0,96.0,89.0,83.0,85.0,85.0,89.0,90.0,74.0,84.0,80.0,80.0,82.0,87.0,82.0,84.0,72.0,70.0,97.0,89.0,89.0,91.0,85.0,80.0,84.0,85.0,90.0,87.0,77.0,84.0,80.0,82.0,81.0,87.0,88.0,85.0,85.0,88.0,77.0,84.0,77.0,72.0,100.0,100.0,99.0,100.0,99.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,98.0,99.0,98.0,99.0,98.0,99.0,99.0,100.0,98.0,100.0,98.0,97.0,95.0,94.0,91.0,93.0,95.0,97.0,95.0,92.0,96.0
qwen-7b,1596,1000,ood_support,lora,base,meta,90.88,100.0,95.0,93.0,88.0,85.0,82.0,76.0,76.0,79.0,81.0,100.0,100.0,100.0,100.0,99.0,100.0,97.0,98.0,99.0,93.0,100.0,100.0,98.0,92.0,92.0,89.0,85.0,90.0,82.0,83.0,84.0,84.0,82.0,79.0,79.0,85.0,82.0,77.0,76.0,69.0,96.0,94.0,90.0,92.0,87.0,84.0,90.0,80.0,91.0,81.0,69.0,90.0,84.0,85.0,81.0,83.0,87.0,86.0,84.0,86.0,83.0,86.0,83.0,77.0,100.0,99.0,100.0,100.0,98.0,100.0,98.0,99.0,99.0,100.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,95.0,97.0,100.0,97.0,99.0,98.0,96.0,98.0,97.0,98.0,95.0,95.0,92.0,93.0,91.0,91.0
qwen-7b,1048,1000,normal,lora,base,meta,94.46,100.0,95.0,95.0,90.0,88.0,78.0,85.0,85.0,72.0,87.0,100.0,100.0,100.0,99.0,99.0,99.0,97.0,98.0,99.0,97.0,100.0,100.0,99.0,97.0,95.0,91.0,88.0,95.0,90.0,88.0,92.0,94.0,86.0,91.0,90.0,94.0,87.0,90.0,90.0,88.0,95.0,94.0,93.0,90.0,89.0,82.0,89.0,93.0,93.0,92.0,89.0,98.0,91.0,90.0,99.0,93.0,98.0,96.0,95.0,94.0,95.0,93.0,91.0,94.0,100.0,99.0,97.0,99.0,99.0,99.0,100.0,99.0,100.0,100.0,99.0,94.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,97.0,98.0,99.0,98.0,93.0,97.0,97.0,95.0,94.0,90.0,97.0,93.0
qwen-7b,1048,1000,ood_constants,lora,base,meta,76.62,99.0,87.0,84.0,60.0,68.0,73.0,61.0,65.0,45.0,55.0,100.0,96.0,92.0,83.0,82.0,86.0,85.0,79.0,77.0,74.0,100.0,98.0,89.0,88.0,82.0,77.0,72.0,66.0,65.0,67.0,66.0,68.0,57.0,59.0,47.0,56.0,58.0,61.0,55.0,43.0,84.0,80.0,62.0,60.0,59.0,51.0,56.0,61.0,66.0,63.0,47.0,94.0,90.0,77.0,84.0,84.0,84.0,80.0,84.0,76.0,75.0,65.0,71.0,51.0,100.0,96.0,100.0,99.0,96.0,97.0,97.0,93.0,92.0,91.0,89.0,89.0,89.0,89.0,86.0,88.0,88.0,77.0,73.0,100.0,99.0,96.0,80.0,85.0,82.0,75.0,72.0,73.0,65.0,66.0,65.0,64.0,52.0
qwen-7b,1048,1000,ood_words,lora,base,meta,94.14,99.0,94.0,92.0,90.0,84.0,80.0,83.0,89.0,72.0,83.0,100.0,100.0,99.0,98.0,99.0,96.0,98.0,98.0,98.0,97.0,99.0,100.0,99.0,99.0,92.0,92.0,91.0,94.0,91.0,91.0,85.0,92.0,91.0,90.0,85.0,93.0,92.0,94.0,88.0,85.0,98.0,96.0,91.0,86.0,88.0,90.0,88.0,89.0,92.0,92.0,86.0,97.0,97.0,90.0,95.0,92.0,99.0,96.0,94.0,95.0,95.0,96.0,97.0,85.0,99.0,97.0,96.0,99.0,99.0,97.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,100.0,99.0,98.0,97.0,98.0,98.0,97.0,97.0,95.0,92.0,97.0,89.0,96.0,97.0
qwen-7b,1048,1000,ood_support,lora,base,meta,94.62,100.0,99.0,96.0,90.0,93.0,80.0,84.0,82.0,74.0,85.0,100.0,99.0,100.0,99.0,99.0,100.0,99.0,100.0,99.0,98.0,100.0,100.0,99.0,98.0,94.0,91.0,90.0,94.0,83.0,91.0,93.0,95.0,89.0,83.0,88.0,94.0,94.0,93.0,82.0,88.0,95.0,94.0,93.0,93.0,86.0,87.0,90.0,86.0,91.0,97.0,92.0,98.0,91.0,92.0,98.0,98.0,95.0,97.0,97.0,94.0,93.0,94.0,92.0,86.0,100.0,97.0,96.0,100.0,98.0,99.0,100.0,98.0,100.0,97.0,99.0,99.0,100.0,99.0,100.0,99.0,100.0,98.0,99.0,100.0,98.0,98.0,100.0,97.0,96.0,96.0,95.0,98.0,95.0,97.0,95.0,96.0,95.0
qwen-3b,512,100,normal,lora,base,meta,75.97,93.0,68.0,52.0,46.0,49.0,48.0,43.0,48.0,43.0,64.0,96.0,96.0,96.0,88.0,92.0,92.0,92.0,89.0,85.0,85.0,100.0,97.0,89.0,74.0,71.0,65.0,53.0,65.0,64.0,53.0,59.0,57.0,55.0,50.0,57.0,66.0,54.0,55.0,56.0,54.0,88.0,70.0,59.0,54.0,56.0,57.0,47.0,54.0,63.0,61.0,64.0,77.0,80.0,78.0,88.0,82.0,84.0,81.0,86.0,76.0,88.0,82.0,81.0,81.0,100.0,96.0,99.0,96.0,94.0,93.0,94.0,94.0,91.0,94.0,92.0,84.0,94.0,94.0,93.0,86.0,87.0,82.0,82.0,100.0,93.0,80.0,82.0,83.0,78.0,78.0,78.0,77.0,78.0,74.0,77.0,76.0,74.0
qwen-3b,512,100,ood_constants,lora,base,meta,60.03,77.0,63.0,47.0,44.0,39.0,42.0,50.0,45.0,42.0,56.0,92.0,88.0,82.0,73.0,75.0,73.0,81.0,64.0,63.0,59.0,100.0,96.0,84.0,75.0,69.0,61.0,47.0,49.0,59.0,46.0,41.0,43.0,52.0,32.0,31.0,41.0,38.0,29.0,32.0,30.0,76.0,52.0,41.0,32.0,44.0,45.0,38.0,36.0,49.0,53.0,43.0,59.0,71.0,65.0,70.0,62.0,53.0,53.0,63.0,61.0,55.0,48.0,52.0,45.0,100.0,96.0,98.0,92.0,92.0,87.0,84.0,80.0,84.0,80.0,68.0,69.0,65.0,70.0,63.0,60.0,55.0,45.0,51.0,97.0,72.0,69.0,59.0,64.0,58.0,49.0,53.0,64.0,41.0,46.0,51.0,46.0,39.0
qwen-3b,512,100,ood_words,lora,base,meta,75.45,97.0,68.0,60.0,49.0,51.0,39.0,43.0,45.0,48.0,56.0,97.0,97.0,95.0,94.0,91.0,90.0,92.0,94.0,83.0,82.0,100.0,93.0,87.0,79.0,73.0,60.0,57.0,62.0,60.0,51.0,49.0,64.0,56.0,60.0,57.0,62.0,52.0,57.0,50.0,56.0,81.0,58.0,52.0,57.0,64.0,55.0,55.0,54.0,65.0,66.0,46.0,75.0,76.0,75.0,77.0,84.0,80.0,85.0,84.0,83.0,83.0,81.0,84.0,84.0,100.0,96.0,97.0,95.0,93.0,93.0,89.0,92.0,93.0,91.0,92.0,85.0,92.0,89.0,90.0,86.0,87.0,80.0,80.0,99.0,86.0,79.0,79.0,85.0,79.0,77.0,71.0,86.0,80.0,83.0,80.0,77.0,78.0
qwen-3b,512,100,ood_support,lora,base,meta,76.06,91.0,69.0,54.0,49.0,47.0,45.0,46.0,47.0,46.0,60.0,97.0,97.0,96.0,91.0,91.0,93.0,93.0,87.0,89.0,91.0,100.0,97.0,87.0,73.0,71.0,61.0,49.0,56.0,59.0,62.0,56.0,59.0,58.0,50.0,55.0,68.0,51.0,54.0,56.0,52.0,82.0,70.0,63.0,61.0,54.0,57.0,56.0,57.0,53.0,68.0,59.0,79.0,74.0,81.0,86.0,79.0,79.0,87.0,87.0,84.0,83.0,80.0,84.0,89.0,100.0,97.0,96.0,99.0,96.0,94.0,92.0,93.0,90.0,94.0,90.0,91.0,95.0,93.0,87.0,89.0,89.0,85.0,75.0,98.0,86.0,78.0,81.0,87.0,81.0,80.0,75.0,72.0,81.0,80.0,75.0,78.0,76.0
qwen-3b,1048,1000,normal,lora,base,meta,82.2,99.0,94.0,87.0,75.0,71.0,61.0,59.0,69.0,51.0,58.0,100.0,99.0,100.0,99.0,99.0,98.0,98.0,95.0,94.0,91.0,100.0,100.0,92.0,89.0,85.0,79.0,73.0,82.0,76.0,82.0,64.0,74.0,76.0,77.0,73.0,72.0,75.0,72.0,63.0,55.0,97.0,94.0,83.0,75.0,78.0,71.0,77.0,74.0,77.0,62.0,50.0,78.0,76.0,80.0,86.0,77.0,80.0,86.0,83.0,77.0,75.0,77.0,75.0,73.0,100.0,99.0,97.0,92.0,90.0,87.0,91.0,93.0,97.0,94.0,89.0,89.0,91.0,97.0,94.0,95.0,93.0,94.0,91.0,99.0,90.0,85.0,85.0,81.0,79.0,73.0,62.0,78.0,81.0,73.0,64.0,66.0,67.0
